,Epoch,CLARIFY Test AP,CLARIFY Test ROC,CLARIFY Test AUPRC
37,37,0.8403710593855942,0.8513691190345841,0.8402345513790028
38,38,0.8426004555857447,0.8537883376626403,0.842470041375627
39,39,0.8446672818751959,0.8557853032650353,0.8445434934593643
40,40,0.8464656946208877,0.8574379142447787,0.8463488491309568
41,41,0.847289769382155,0.8579511700776945,0.8471776200723803
42,42,0.8484149336483355,0.8584600577758623,0.8483058771724321
43,43,0.8511882358837074,0.8608545236403452,0.8510842839961774
44,44,0.8548571400308863,0.8643082621812718,0.8547579916927472
45,45,0.8586488587903929,0.8678398991252081,0.8585536042132624
46,46,0.8620028964297046,0.8708626483709769,0.8619109657655283
47,47,0.8649412530628828,0.8734121830190218,0.8648514111836438
48,48,0.8675065486565035,0.875415700823539,0.8674184056829025
49,49,0.8693056469587014,0.876841896818833,0.8692181895040412
50,50,0.8715660833791488,0.8788898239932905,0.871480696328309
51,51,0.8743434077505073,0.8812500728022459,0.8742607758002673
52,52,0.8769599489042468,0.8833766264021713,0.8768803145078933
53,53,0.8790179388791713,0.8848523279246117,0.8789413010035809
54,54,0.8801062647076093,0.8853561194655732,0.8800302842403608
55,55,0.8806416817006888,0.8851366206944752,0.8805671934709154
56,56,0.8805929668303296,0.884598976109215,0.8805178639059423
57,57,0.8815384725485031,0.8852796771074795,0.8814643395863768
58,58,0.8829025915951931,0.8864758180060339,0.8828304415142376
59,59,0.8847241860776954,0.8882092394786195,0.8846544067292852
60,60,0.8861860998013784,0.8898720427727754,0.8861178925102168
61,61,0.8879239304525124,0.8913026069028178,0.8878575473011823
62,62,0.889259193363996,0.8924084730165757,0.8891935948014763
63,63,0.8901815853212041,0.8932227661358898,0.8901164546869049
64,64,0.8905532026247802,0.8936082540274202,0.8904884530016604
65,65,0.8914069683329381,0.8944949853813091,0.8913435206718894
66,66,0.891286324343129,0.8942510978578666,0.8912238542416618
67,67,0.8918396841323984,0.8945273823806916,0.8917789304808444
68,68,0.8923676562761691,0.8947264965229648,0.8923073073168941
69,69,0.8930702617515011,0.8950104252815991,0.893010334395571
70,70,0.8935188408690434,0.8948793812391523,0.8934591316956099
71,71,0.8935953524413132,0.8946420459178326,0.8935356576666695
72,72,0.8946075462309864,0.8952412084007967,0.8945488495507126
73,73,0.8950197409539591,0.8955571701475846,0.8949612705691334
74,74,0.8953173337273246,0.8958694917820825,0.8952586200518289
75,75,0.8963290172185451,0.8967489429113908,0.8962705982129497
76,76,0.8966915438791925,0.8969185721441134,0.8966334344140543
77,77,0.8968953758254345,0.8970539843213082,0.8968373109274277
78,78,0.8965518075951923,0.8966797807778775,0.8964929966305129
79,79,0.8962296621860809,0.8963004810772403,0.8961701741409039
80,80,0.8972066271810896,0.8966950692494962,0.8971483538390157
81,81,0.8979670942293241,0.8971384349264405,0.897909708859903
82,82,0.8979907120625834,0.8971333387692345,0.8979333071637012
83,83,0.897963508515255,0.8968741627741732,0.897906718855591
84,84,0.8976548821421401,0.8964140525806941,0.8975978356057529
85,85,0.8975179079157906,0.8957843131544923,0.8974609234474729
86,86,0.897429281333843,0.8953620601288308,0.897372214358616
87,87,0.8977114040112368,0.8952288320190102,0.8976549591002878
88,88,0.8986877981315886,0.8958847802537013,0.8986325714538946
89,89,0.8997587272244383,0.8968821710212117,0.899704398210495
90,90,0.9006518871493763,0.8978675494181645,0.9005996461383731
91,91,0.9009824669790173,0.8985617188319025,0.9009282141000354
92,92,0.9011518210176064,0.8989384704539365,0.9010971952508924
93,93,0.901329860344811,0.8992089307970973,0.9012747134143598
94,94,0.9017086105685657,0.8994673787697003,0.9016542041890073
95,95,0.9027023458601786,0.9002405386201353,0.9026491825652112
96,96,0.903582953563,0.9010340830993955,0.9035303243085375
97,97,0.9040290902882064,0.9014577921699729,0.903976325900394
98,98,0.9040735607451373,0.901757009400226,0.9040205448549827
99,99,0.9042379682382609,0.9022404163123624,0.9041847998207239
100,100,0.90451258474661,0.9026553891134433,0.9044596507578696
101,101,0.9045769547140365,0.9029567904110706,0.9045238881895696
102,102,0.9047450355096683,0.9032501834616594,0.9046916617261828
103,103,0.9053290026461449,0.90369864529581,0.905275709457518
104,104,0.90585797386745,0.9042148132185583,0.9058049412015242
105,105,0.9060991653785924,0.9045766403802025,0.9060464698136984
